[11/23/17 12:01PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:00PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:05PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:05PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:06PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:06PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:12PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:12PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:12PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:12PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:16PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:22PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:22PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:22PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:28PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:29PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:36PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 06:36PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 07:02PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 07:02PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 07:03PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 07:03PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 07:09PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 07:26PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 07:28PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 07:32PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 07:33PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 07:36PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 07:37PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 07:41PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 07:41PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 08:28PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 08:32PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 08:44PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 08:46PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 09:37PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 09:39PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/24/17 09:39PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
